ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11663612,JC234582,04/22/2019 10:45:00 PM,056XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,APARTMENT,False,False,231,2.0,20.0,40.0,08A,1179887.0,1867687.0,2019,04/29/2019 04:18:19 PM,41.792206818000004,-87.61591556799999,"(41.792206818, -87.615915568)",53.0,22260.0,7.0,402.0,4.0,60.0,24.0,125.0
11663605,JC234579,04/22/2019 10:45:00 PM,013XX W ESTES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2423,24.0,49.0,1.0,08B,1166027.0,1947523.0,2019,04/29/2019 04:18:19 PM,42.011588423,-87.66445538,"(42.011588423, -87.66445538)",3.0,21853.0,10.0,66.0,5.0,9.0,11.0,37.0
11663704,JC234590,04/22/2019 10:38:00 PM,032XX W ARTHINGTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1134,11.0,24.0,27.0,14,1154838.0,1895858.0,2019,04/29/2019 04:18:19 PM,41.870048460999996,-87.70701359799999,"(41.870048461, -87.707013598)",36.0,21572.0,28.0,36.0,14.0,30.0,16.0,140.0
11663647,JC234571,04/22/2019 10:35:00 PM,049XX W OHIO ST,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,1532,15.0,37.0,25.0,03,1143256.0,1903538.0,2019,04/29/2019 04:18:19 PM,41.891347345999996,-87.74934324,"(41.891347346, -87.74934324)",4.0,22216.0,26.0,694.0,45.0,32.0,25.0,81.0
11663631,JC234555,04/22/2019 10:33:00 PM,016XX S TROY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1022,10.0,24.0,29.0,08B,1155633.0,1891405.0,2019,04/29/2019 04:18:19 PM,41.857812994,-87.7042147,"(41.857812994, -87.7042147)",36.0,21569.0,30.0,132.0,14.0,57.0,21.0,152.0
11663618,JC234592,04/22/2019 10:33:00 PM,110XX S VERNON AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,True,False,513,5.0,9.0,49.0,26,1181204.0,1831866.0,2019,04/29/2019 04:18:19 PM,41.693879672,-87.61218712899999,"(41.693879672, -87.612187129)",30.0,21861.0,45.0,237.0,43.0,19.0,10.0,260.0
11663859,JC234774,04/22/2019 10:30:00 PM,022XX N SEELEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1432,14.0,32.0,22.0,14,1162324.0,1914751.0,2019,04/29/2019 04:18:19 PM,41.921739175,-87.679001192,"(41.921739175, -87.679001192)",16.0,22535.0,23.0,178.0,40.0,1.0,7.0,180.0
11664016,JC234965,04/22/2019 10:30:00 PM,037XX W HIRSCH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2535,25.0,26.0,23.0,07,1150995.0,1909052.0,2019,04/29/2019 04:18:19 PM,41.906330258000004,-87.720776732,"(41.906330258, -87.720776732)",10.0,4299.0,24.0,454.0,49.0,5.0,6.0,193.0
11663607,JC234560,04/22/2019 10:30:00 PM,083XX S STONY ISLAND AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,GAS STATION,True,False,412,4.0,8.0,45.0,26,1188253.0,1850180.0,2019,04/29/2019 04:18:19 PM,41.743970443,-87.58579712299999,"(41.743970443, -87.585797123)",9.0,21202.0,41.0,133.0,35.0,61.0,19.0,240.0
11663735,JC234578,04/22/2019 10:30:00 PM,072XX S WOOD ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,735,7.0,17.0,67.0,08A,1165604.0,1856675.0,2019,04/29/2019 04:18:19 PM,41.762303596,-87.668601155,"(41.762303596, -87.668601155)",17.0,22257.0,65.0,433.0,31.0,23.0,17.0,7.0
